FILTER  JD    FMAG   FERR
U 53857.45700 17.008 0.039
U 53857.46100 17.016 0.039
U 53858.24900 17.033 0.042
U 53858.25200 16.996 0.039
U 53859.26100 17.118 0.044
U 53859.26500 17.084 0.041
U 53860.25200 17.148 0.050
U 53860.25500 17.188 0.048
U 53861.45300 17.238 0.043
U 53861.45700 17.229 0.042
U 53862.38600 17.369 0.041
U 53862.39000 17.335 0.043
U 53874.41700 18.922 0.153
U 53874.42100 18.663 0.136
U 53879.44100 19.039 0.114
U 53879.44400 19.197 0.151
U 53886.39000 20.173 0.278
U 53890.38900 20.364 0.466
B 53854.33600 17.187 0.018
B 53855.38400 17.158 0.020
B 53856.38300 17.145 0.017
B 53857.45400 17.145 0.019
B 53858.25600 17.148 0.018
B 53859.26900 17.175 0.019
B 53860.25900 17.214 0.020
B 53861.45000 17.301 0.019
B 53862.39300 17.320 0.018
B 53863.24500 17.395 0.030
B 53866.39700 17.596 0.030
B 53867.33600 17.752 0.064
B 53874.41400 18.476 0.042
B 53879.43800 18.976 0.042
B 53886.38700 19.420 0.049
B 53890.38600 19.674 0.065
B 53891.34800 19.699 0.085
B 53894.39800 20.108 0.158
B 53899.33300 20.160 0.398
B 53907.34600 20.188 0.071
B 53928.27800 20.454 0.492
B 53929.31200 20.347 0.487
V 53854.33400 17.046 0.016
V 53855.37800 16.993 0.016
V 53856.37700 16.963 0.013
V 53857.44800 16.952 0.017
V 53858.24600 16.950 0.017
V 53859.25900 16.943 0.016
V 53860.24900 16.933 0.018
V 53861.44500 16.934 0.017
V 53862.38400 16.970 0.017
V 53863.23500 16.988 0.020
V 53866.38700 17.152 0.024
V 53867.32700 17.153 0.033
V 53874.41200 17.535 0.024
V 53879.43500 17.840 0.023
V 53886.38400 18.328 0.027
V 53890.38400 18.523 0.038
V 53891.34500 18.556 0.038
V 53894.39500 18.697 0.063
V 53899.33000 18.878 0.206
V 53907.34300 18.960 0.036
V 53928.27500 19.337 0.150
r 53855.38000 17.045 0.016
r 53856.37900 17.027 0.016
r 53857.45100 16.997 0.018
r 53858.24300 16.977 0.017
r 53859.25600 16.965 0.017
r 53860.24600 16.967 0.018
r 53861.44700 16.965 0.018
r 53862.38000 16.983 0.017
r 53863.23200 16.999 0.021
r 53866.38400 17.077 0.023
r 53867.32300 17.087 0.028
r 53874.41000 17.396 0.022
r 53879.43400 17.567 0.021
r 53886.38300 17.922 0.021
r 53890.38200 18.141 0.024
r 53891.34300 18.178 0.027
r 53894.39300 18.311 0.039
r 53899.32800 18.643 0.129
r 53907.34000 18.726 0.024
r 53928.27300 19.381 0.106
r 53929.30600 19.297 0.125
i 53855.38200 17.295 0.019
i 53856.38100 17.285 0.019
i 53857.45200 17.267 0.027
i 53858.24500 17.284 0.027
i 53859.25700 17.327 0.025
i 53860.24800 17.296 0.024
i 53861.44900 17.297 0.020
i 53862.38200 17.317 0.021
i 53863.23300 17.315 0.024
i 53866.38600 17.367 0.029
i 53867.32500 17.473 0.035
i 53874.38800 17.616 0.027
i 53874.40900 17.627 0.023
i 53879.43200 17.605 0.019
i 53886.38100 17.814 0.024
i 53890.38000 18.001 0.032
i 53891.34000 18.068 0.030
i 53894.39100 18.270 0.041
i 53899.32700 18.564 0.077
i 53907.33900 18.624 0.036
i 53928.27100 19.103 0.102
