  JD     U     UErr  B      BErr V     VErr  R     RErr I      IErr  Date
601.327 14.696 0.033 15.248 0.012 15.298 0.017 15.229 0.011 15.236 0.006 feb08
602.413 14.549 0.069 15.121 0.013 15.163 0.018 15.117 0.012 15.147 0.015 feb09
603.352 14.478 0.016 15.027 0.009 15.075 0.011 15.036 0.013 15.065 0.014 feb10
604.220 14.415 0.032 14.962 0.008 15.010 0.016 14.987 0.007 15.020 0.010 feb11
609.156 99.99  0.000 14.723 0.038 14.756 0.008 14.730 0.008 14.815 0.015 feb16
610.188 14.201 0.069 14.757 0.063 14.743 0.018 14.703 0.015 14.787 0.013 feb17
612.131 14.197 0.041 14.718 0.011 14.708 0.010 14.675 0.013 14.749 0.010 feb19
613.125 14.227 0.045 14.719 0.010 14.688 0.010 14.663 0.006 14.742 0.012 feb20
614.072 14.203 0.036 14.734 0.007 14.686 0.005 14.658 0.009 14.733 0.006 feb21
615.188 14.239 0.030 14.717 0.014 14.666 0.023 14.625 0.010 14.715 0.015 feb22
618.190 14.364 0.013 14.829 0.015 14.705 0.019 14.665 0.014 14.698 0.015 feb25
620.103 14.432 0.011 14.876 0.008 14.728 0.004 14.678 0.005 14.692 0.009 feb27
621.072 14.533 0.053 14.930 0.020 14.742 0.018 14.696 0.020 14.731 0.032 feb28
622.097 14.589 0.021 14.987 0.008 14.788 0.017 14.729 0.019 14.733 0.016 mar01
626.431 99.99  0.000 15.292 0.023 14.944 0.028 14.852 0.029 14.789 0.022 mar05
627.069 15.054 0.024 15.362 0.023 14.969 0.027 14.825 0.022 14.770 0.030 mar06
628.069 15.143 0.041 15.415 0.019 15.019 0.013 14.846 0.008 14.761 0.012 mar07
629.090 15.218 0.012 15.504 0.015 15.050 0.014 14.862 0.020 14.775 0.022 mar08
635.234 15.816 0.023 15.987 0.022 15.284 0.012 15.014 0.020 14.803 0.013 mar14
636.179 15.926 0.043 16.057 0.011 15.320 0.022 15.033 0.016 14.799 0.019 mar15
637.133 15.922 0.035 16.119 0.017 15.344 0.021 15.050 0.023 14.802 0.041 mar16
639.208 16.076 0.069 16.208 0.040 15.430 0.024 15.112 0.020 14.778 0.024 mar18
642.090 16.260 0.033 16.379 0.011 15.478 0.009 15.131 0.010 14.841 0.013 mar21
643.077 16.313 0.021 16.418 0.022 15.508 0.015 15.162 0.023 14.866 0.024 mar22
646.161 16.435 0.019 16.526 0.008 15.605 0.012 15.223 0.008 14.924 0.011 mar25
649.167 16.541 0.046 16.611 0.011 15.712 0.010 15.288 0.013 14.944 0.022 mar28 
653.198 99.99  0.000 16.709 0.014 15.795 0.011 15.420 0.011 15.066 0.009 apr01
655.264 16.673 0.017 16.777 0.006 15.852 0.012 15.478 0.007 15.135 0.011 apr03
662.090 16.884 0.025 16.961 0.011 16.080 0.018 15.744 0.018 15.379 0.011 apr10
667.243 99.99  0.000 17.086 0.020 16.239 0.017 15.961 0.011 15.658 0.019 apr15
672.280 17.092 0.036 17.232 0.018 16.411 0.021 16.167 0.025 15.793 0.019 apr20
681.221 99.99  0.000 17.504 0.008 16.760 0.008 16.575 0.008 16.201 0.017 apr29
685.164 17.486 0.024 17.619 0.009 16.919 0.021 16.751 0.018 16.401 0.017 may03
694.115 99.99  0.000 17.918 0.012 17.275 0.012 17.160 0.017 16.833 0.018 may12
701.095 99.99  0.000 99.99  0.000 17.557 0.009 17.495 0.012 17.089 0.014 may19
709.159 99.99  0.000 18.435 0.010 17.890 0.019 17.828 0.021 99.99  0.000 may27
726.122 99.99  0.000 99.99  0.000 18.616 0.029 18.619 0.032 18.398 0.032 jun13
740.126 99.99  0.000 99.99  0.000 19.230 0.025 19.370 0.019 99.99  0.000 jun27
