FILTER JD FMAG FERR
B 2458058.451 15.979 0.003
B 2458059.447 15.773 0.003
B 2458060.376 15.633 0.003
B 2458067.198 15.406 0.02
B 2458068.214 15.438 0.026
B 2458073.273 15.667 0.022
B 2458077.428 16.036 0.03
B 2458080.287 16.361 0.026
B 2458087.366 17.232 0.026
B 2458105.244 18.379 0.026
B 2458114.22 18.604 0.027
B 2458117.245 18.616 0.04
B 2458140.124 19.022 0.032
B 2458153.146 19.081 0.051
I 2458058.448 15.754 0.037
I 2458059.43 15.626 0.029
I 2458060.37 15.518 0.017
I 2458067.185 15.434 0.019
I 2458068.205 15.451 0.029
I 2458073.264 15.613 0.02
I 2458077.419 16.024 0.004
I 2458080.281 15.957 0.017
I 2458087.357 15.831 0.013
I 2458105.232 16.296 0.021
I 2458114.2 16.755 0.022
I 2458117.226 16.92 0.02
I 2458124.068 17.329 0.026
I 2458140.106 17.969 0.007
I 2458153.14 18.26 0.026
I 2458159.261 18.625 0.028
R 2458058.439 15.818 0.017
R 2458059.428 15.684 0.015
R 2458060.372 15.538 0.03
R 2458067.191 15.312 0.012
R 2458068.208 15.31 0.009
R 2458073.267 15.385 0.014
R 2458077.414 15.625 0.02
R 2458080.274 15.787 0.014
R 2458087.351 15.98 0.016
R 2458105.224 16.738 0.015
R 2458114.19 17.116 0.015
R 2458117.232 17.199 0.018
R 2458124.076 17.483 0.005
R 2458140.099 17.938 0.005
R 2458152.095 18.253 0.005
R 2458153.137 18.24 0.017
R 2458159.255 18.484 0.024
U 2458058.454 15.676 0.133
U 2458059.45 15.487 0.148
U 2458060.38 15.366 0.151
U 2458067.203 15.264 0.144
U 2458068.219 15.363 0.199
U 2458073.279 15.689 0.152
U 2458080.293 16.566 0.099
U 2458140.133 19.551 0.295
U 2458153.15 19.953 0.186
V 2458058.45 15.952 0.018
V 2458059.432 15.82 0.032
V 2458060.374 15.753 0.033
V 2458067.194 15.391 0.018
V 2458068.211 15.394 0.011
V 2458073.269 15.478 0.014
V 2458077.425 15.752 0.002
V 2458080.283 15.88 0.012
V 2458087.36 16.259 0.019
V 2458105.237 17.178 0.015
V 2458114.211 17.483 0.021
V 2458117.238 17.541 0.022
V 2458124.086 17.782 0.005
V 2458140.117 18.122 0.023
V 2458152.105 18.368 0.02
V 2458153.142 18.401 0.022
V 2458159.267 18.575 0.026
