Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-01-26.6    -18.1    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    20.852  0.223     INDEF   INDEF    21.025  0.269     PS1  
2018-01-27.2    -17.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    19.039  0.009     Decam  
2018-01-27.3    -17.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    18.957  0.008     Decam  
2018-02-03.1    -10.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.500  0.010     INDEF   INDEF    INDEF   INDEF    ASAS-SN  
2018-02-03.3    -10.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.671  0.004     PS1  
2018-02-04.3    -9.4    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.446  0.004     PS1  
2018-02-04.5    -9.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.389  0.003     PS1  
2018-02-05.1    -8.6    INDEF   INDEF    14.982  0.025     15.085  0.025     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.988  0.017     15.305  0.025     DEMONEXT  
2018-02-05.2    -8.5    INDEF   INDEF    14.940  0.026     15.067  0.025     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.005  0.013     15.262  0.024     PONM  
2018-02-05.2    -8.5    INDEF   INDEF    INDEF   INDEF    14.915  0.005     14.832  0.006     14.879  0.007     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    slotis  
2018-02-05.4    -8.3    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.264  0.010     PS1  
2018-02-05.8    -7.9    INDEF   INDEF    14.818  0.031     14.931  0.011     INDEF   INDEF    INDEF   INDEF    14.707  0.005     14.872  0.007     15.089  0.009     TNT  
