#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
1 51933.28865 16.960 0.035
1 51957.12972 17.917 0.039
1 51963.19172 18.030 0.069
1 51987.11832 18.549 0.075
1 52014.11727 19.156 0.129
2 51933.29189 16.425 0.015
2 51957.13304 17.559 0.027
2 51963.21380 17.661 0.019
2 51987.12167 18.008 0.022
2 51992.10215 18.082 0.025
2 51994.15929 18.153 0.039
2 52002.16551 18.281 0.047
2 52002.16551 18.281 0.047
2 52014.12054 18.424 0.027
3 51933.29438 15.474 0.014
3 51957.13560 16.590 0.022
3 51963.20535 16.712 0.030
3 51963.21635 16.733 0.013
3 51987.12418 17.358 0.016
3 51992.10469 17.466 0.017
3 51994.16255 17.547 0.020
3 52002.16800 17.664 0.036
3 52014.12304 17.956 0.019
4 51933.29616 15.183 0.019
4 51957.13747 16.181 0.028
4 51963.20722 16.440 0.021
4 51963.21822 16.426 0.019
4 51987.12598 17.178 0.018
4 51992.10653 17.326 0.026
4 51994.16509 17.377 0.025
4 52014.12483 17.965 0.027
5 51933.29758 15.212 0.022
5 51963.20872 16.340 0.025
5 51963.21976 16.338 0.025
5 51987.12749 17.313 0.023
5 51992.10803 17.501 0.028
5 51994.16697 17.568 0.040
5 52014.12626 18.296 0.040
sn01G
1 51933.35581 14.772 0.121
1 51986.24803 18.386 0.082
1 51989.24924 18.594 0.072
1 52027.12301 19.183 0.122
2 51963.35495 17.590 0.028
2 51986.25140 18.205 0.029
2 51989.25255 18.245 0.028
2 52027.12700 18.817 0.037
3 51930.31596 15.057 0.022
3 51933.36156 15.051 0.019
3 51963.35750 16.606 0.023
3 51989.25512 17.568 0.020
3 51994.27528 17.716 0.021
3 52022.26957 18.367 0.031
3 52027.13019 18.454 0.028
3 52051.20023 19.009 0.041
4 51930.31777 14.997 0.026
4 51933.36336 15.007 0.022
4 51963.35936 16.189 0.025
4 51986.25582 17.193 0.024
4 51989.25698 17.268 0.024
4 51994.26437 17.503 0.032
4 51994.27785 17.432 0.025
4 52022.27204 18.326 0.034
4 52027.13266 18.414 0.040
4 52051.20272 19.087 0.053
5 51930.31921 15.445 0.034
5 51933.36478 15.505 0.026
5 51986.25733 17.201 0.032
5 51989.25851 17.255 0.032
5 51994.27973 17.542 0.034
5 52022.27383 18.729 0.083
5 52027.13446 18.741 0.070
5 52051.20450 19.117 0.095
sn01N
2 51933.40912 16.760 0.028
2 51934.52686 16.798 0.016
2 51953.24632 18.907 0.065
2 51957.16950 18.891 0.043
3 51933.41159 16.413 0.021
3 51934.52943 16.362 0.013
