#Standard System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   STDMAG dMAG
sn01C
1 51933.28865 17.043 0.035
1 51957.12972 18.000 0.039
1 51963.19172 18.111 0.069
1 51987.11832 18.607 0.075
1 52014.11727 19.201 0.129
2 51933.29189 16.503 0.015
2 51957.13304 17.639 0.027
2 51963.21380 17.739 0.019
2 51987.12167 18.061 0.022
2 51992.10215 18.132 0.025
2 51994.15929 18.203 0.039
2 52002.16551 18.331 0.047
2 52002.16551 18.331 0.047
2 52014.12054 18.462 0.027
3 51933.29438 15.442 0.014
3 51957.13560 16.557 0.022
3 51963.20535 16.680 0.030
3 51963.21635 16.701 0.013
3 51987.12418 17.336 0.016
3 51992.10469 17.445 0.017
3 51994.16255 17.527 0.020
3 52002.16800 17.643 0.036
3 52014.12304 17.940 0.019
4 51933.29616 15.170 0.019
4 51957.13747 16.177 0.028
4 51963.20722 16.427 0.021
4 51963.21822 16.414 0.019
4 51987.12598 17.168 0.018
4 51992.10653 17.314 0.026
4 51994.16509 17.368 0.025
4 52014.12483 17.947 0.027
5 51933.29758 15.181 0.022
5 51963.20872 16.311 0.025
5 51963.21976 16.309 0.025
5 51987.12749 17.289 0.023
5 51992.10803 17.477 0.028
5 51994.16697 17.546 0.040
5 52014.12626 18.273 0.040
sn01G
1 51933.35581 14.790 0.121
1 51986.24803 18.446 0.082
1 51989.24924 18.653 0.072
1 52027.12301 19.216 0.122
2 51963.35495 17.672 0.028
2 51986.25140 18.263 0.029
2 51989.25255 18.301 0.028
2 52027.12700 18.847 0.037
3 51930.31596 15.053 0.022
3 51933.36156 15.042 0.019
3 51963.35750 16.573 0.023
3 51989.25512 17.545 0.020
3 51994.27528 17.696 0.021
3 52022.26957 18.355 0.031
3 52027.13019 18.442 0.028
3 52051.20023 19.002 0.041
4 51930.31777 14.998 0.026
4 51933.36336 15.000 0.022
4 51963.35936 16.184 0.025
4 51986.25582 17.191 0.024
4 51989.25698 17.266 0.024
4 51994.26437 17.497 0.032
4 51994.27785 17.432 0.025
4 52022.27204 18.315 0.034
4 52027.13266 18.404 0.040
4 52051.20272 19.075 0.053
5 51930.31921 15.435 0.034
5 51933.36478 15.487 0.026
5 51986.25733 17.180 0.032
5 51989.25851 17.235 0.032
5 51994.27973 17.522 0.034
5 52022.27383 18.709 0.083
5 52027.13446 18.723 0.070
5 52051.20450 19.108 0.095
sn01N
2 51933.40912 16.789 0.028
2 51934.52686 16.834 0.016
2 51953.24632 19.019 0.065
2 51957.16950 18.995 0.043
3 51933.41159 16.401 0.021
3 51934.52943 16.348 0.013
3 51953.24925 17.496 0.027
3 51957.17510 17.577 0.031
4 51933.41338 16.207 0.024
4 51934.53133 16.203 0.014
4 51939.30172 16.448 0.017
4 51953.25146 16.946 0.024
4 51957.17704 17.013 0.028
5 51933.41480 16.517 0.038
5 51934.53287 16.588 0.034
5 51939.30321 17.032 0.031
5 51953.23955 17.052 0.046
5 51953.25332 17.022 0.038
5 51957.17853 16.734 0.042
sn01V
1 51961.30133 15.607 0.119
1 51962.31150 15.252 0.096
1 51966.43417 14.325 0.046
1 51975.26529 14.372 0.093
1 51983.51324 15.086 0.097
1 51984.40657 15.132 0.052
1 51985.31483 15.172 0.093
1 51988.24015 15.550 0.052
1 51991.12323 15.969 0.050
1 51994.40903 16.473 0.092
1 51995.35500 16.653 0.090
1 51996.31128 16.723 0.124
1 51998.29326 16.968 0.099
1 52002.31150 17.432 0.055
1 52018.31821 17.843 0.094
1 52022.36152 18.050 0.084
1 52028.11999 18.318 0.091
1 52031.19580 18.325 0.083
1 52040.28255 18.415 0.097
2 51959.53666 16.736 0.056
2 51961.30468 15.972 0.033
2 51962.31481 15.635 0.024
2 51963.39244 15.358 0.050
2 51966.43748 14.955 0.023
2 51967.40618 14.853 0.087
2 51975.26907 14.726 0.053
2 51980.50308 14.902 0.023
2 51981.50539 14.981 0.023
2 51983.50448 15.116 0.025
2 51984.41103 15.135 0.022
2 51985.31865 15.205 0.021
2 51988.24392 15.500 0.041
2 51991.16480 15.810 0.061
2 51994.41240 16.238 0.040
2 51995.35878 16.353 0.032
2 51996.31500 16.438 0.054
2 51998.29700 16.553 0.030
2 52002.29929 17.050 0.034
2 52002.31546 17.030 0.024
2 52013.24420 17.621 0.085
2 52020.34772 17.762 0.084
2 52022.36617 17.807 0.046
2 52025.18817 17.841 0.085
2 52028.12464 17.843 0.029
2 52031.20045 17.930 0.037
