Time Freq L_nu packet_count Wavelength L_lambda
2721600.0 316220000000000.0 1.0111899999999999e+28 4561.0 9487.065966732021 3.370467781306533e+38
2721600.0 316850000000000.0 1.0341e+28 4672.0 9468.202619536058 3.460578508575e+38
2721600.0 317480000000000.0 1.0802999999999998e+28 4888.0 9449.414136323549 3.6295757499039994e+38
2721600.0 318120000000000.0 1.1502999999999998e+28 5198.0 9430.40362127499 3.880358155344e+38
2721600.0 318750000000000.0 1.19461e+28 5405.0 9411.764705882353 4.0458080859375e+38
2721600.0 319390000000000.0 1.2070099999999999e+28 5495.0 9392.905225586273 4.104235214147366e+38
2721600.0 320030000000000.0 1.31378e+28 5984.0 9374.121176139737 4.485209925280067e+38
2721600.0 320670000000000.0 1.34848e+28 6125.0 9355.412105903266 4.622106185222399e+38
2721600.0 321310000000000.0 1.38302e+28 6301.0 9336.777566835766 4.7594381789540665e+38
2721600.0 321950000000000.0 1.3939e+28 6349.0 9318.217114458766 4.816008250158333e+38
2721600.0 322600000000000.0 1.4387e+28 6569.0 9299.442033477992 4.990886747066666e+38
2721600.0 323240000000000.0 1.46661e+28 6701.0 9281.02957554758 5.1079140793712e+38
2721600.0 323890000000000.0 1.4852299999999998e+28 6785.0 9262.40390255951 5.193588508562766e+38
2721600.0 324540000000000.0 1.49014e+28 6831.0 9243.852837862822 5.2316933651208e+38
2721600.0 325190000000000.0 1.5145399999999999e+28 6942.0 9225.375934069314 5.3386795954964654e+38
2721600.0 325840000000000.0 1.4949699999999999e+28 6858.0 9206.972747360667 5.290783824027733e+38
2721600.0 326490000000000.0 1.4648199999999998e+28 6734.0 9188.642837452908 5.2047847572294e+38
2721600.0 327140000000000.0 1.47827e+28 6835.0 9170.385767561289 5.273510406843066e+38
2721600.0 327800000000000.0 1.4419699999999999e+28 6689.0 9151.921903599756 5.164792389826666e+38
2721600.0 328450000000000.0 1.4558599999999999e+28 6709.0 9133.810321205663 5.235243564121666e+38
2721600.0 329110000000000.0 1.45768e+28 6727.0 9115.493300112425 5.262875513210933e+38
