    Velocity [km/s]        Density [g/cm^3]    
   3.35153085726764e+02    1.99816456372937e+00
   6.70306171453528e+02    1.80883410215152e+00
   1.00545925718029e+03    1.76958827367869e+00
   1.34061234290706e+03    1.69948690417578e+00
   1.67576542863382e+03    1.54124068306393e+00
   2.01091851436058e+03    1.41269652100399e+00
   2.34607160008735e+03    1.28999295111404e+00
   2.68122468581411e+03    1.24327290358840e+00
   3.01637777154087e+03    1.15374130903944e+00
   3.35153085726764e+03    1.05836964071018e+00
   3.68668394299440e+03    1.00290145083167e+00
   4.02183702872117e+03    9.49726497519234e-01
   4.35699011444793e+03    9.09655701045930e-01
   4.69214320017469e+03    8.65898645961887e-01
   5.02729628590146e+03    8.00325688321882e-01
   5.36244937162822e+03    7.50195442081744e-01
   5.69760245735499e+03    7.04571003462232e-01
   6.03275554308175e+03    6.51885048205635e-01
   6.36790862880851e+03    5.98301843019574e-01
   6.70306171453528e+03    5.56233060645009e-01
   7.03821480026204e+03    5.07682362329655e-01
   7.37336788598881e+03    4.72293976895488e-01
   7.70852097171557e+03    4.27010325679876e-01
   8.04367405744233e+03    4.00639464180799e-01
   8.37882714316910e+03    3.63624786810176e-01
   8.71398022889586e+03    3.35020039014380e-01
   9.04913331462262e+03    3.05889899845436e-01
   9.38428640034939e+03    2.81219632949470e-01
   9.71943948607615e+03    2.52152963335967e-01
   1.00545925718029e+04    2.25509798698509e-01
   1.03897456575297e+04    2.03777456476970e-01
   1.07248987432564e+04    1.83456966004866e-01
   1.10600518289832e+04    1.62845245419565e-01
   1.13952049147100e+04    1.45584315585903e-01
   1.17303580004367e+04    1.27372584960695e-01
   1.20655110861635e+04    1.12004377388173e-01
   1.24006641718903e+04    9.82743188009532e-02
   1.27358172576170e+04    8.54577784183949e-02
   1.30709703433438e+04    7.61978882452704e-02
   1.34061234290706e+04    6.75016158332515e-02
   1.37412765147973e+04    5.94653853718221e-02
   1.40764296005241e+04    5.25974008324987e-02
   1.44115826862508e+04    4.69871296983265e-02
   1.47467357719776e+04    4.26500850087653e-02
   1.50818888577044e+04    3.79886632771929e-02
   1.54170419434311e+04    3.39178289217814e-02
   1.57521950291579e+04    2.89575856983022e-02
   1.60873481148847e+04    2.54438693651764e-02
   1.64225012006114e+04    2.13688899332007e-02
   1.67576542863382e+04    1.84561686832213e-02
   1.70928073720650e+04    1.55845525977522e-02
   1.74279604577917e+04    1.28737612218946e-02
   1.77631135435185e+04    1.15028070045208e-02
   1.80982666292452e+04    9.86822977169953e-03
   1.84334197149720e+04    8.79553198749499e-03
   1.87685728006988e+04    7.43560152268166e-03
   1.91037258864255e+04    6.43809641798864e-03
   1.94388789721523e+04    5.63027125847395e-03
   1.97740320578791e+04    5.24481309526384e-03
   2.01091851436058e+04    4.55167581034330e-03
   2.04443382293326e+04    4.19820699444874e-03
   2.07794913150594e+04    3.65130259503822e-03
   2.11146444007861e+04    3.27441892630202e-03
   2.14497974865129e+04    2.71196162907700e-03
   2.17849505722397e+04    2.19234202888375e-03
   2.21201036579664e+04    1.82492645023557e-03
   2.24552567436932e+04    1.43234738748419e-03
   2.27904098294199e+04    1.14559115960602e-03
   2.31255629151467e+04    9.40025777944601e-04
   2.34607160008735e+04    8.24526155112048e-04
   2.37958690866002e+04    6.57723687863519e-04
   2.41310221723270e+04    5.17147418135631e-04
   2.44661752580538e+04    4.66775685895151e-04
   2.48013283437805e+04    3.87483542402720e-04
   2.51364814295073e+04    3.19598964536889e-04
   2.54716345152341e+04    2.98073713873006e-04
   2.58067876009608e+04    2.34588240211959e-04
   2.61419406866876e+04    1.92363829016080e-04
   2.64770937724143e+04    1.57715643874019e-04
   2.68122468581411e+04    1.47320948386497e-04
