    Velocity [km/s]        Density [g/cm^3]    
   5.72938545742699e+02    4.81448019221825e-01
   8.59407818614049e+02    4.92028109104023e-01
   1.14587709148540e+03    4.76075299692057e-01
   1.43234636435675e+03    4.80279322802401e-01
   1.71881563722810e+03    5.11212017484459e-01
   2.00528491009945e+03    4.98312274539105e-01
   2.29175418297080e+03    4.97773929412503e-01
   2.57822345584215e+03    4.99520483813213e-01
   2.86469272871349e+03    4.91675265647270e-01
   3.15116200158484e+03    4.83229604536405e-01
   3.43763127445619e+03    4.80101521390454e-01
   3.72410054732754e+03    4.68575554552741e-01
   4.01056982019889e+03    4.63463552136950e-01
   4.29703909307024e+03    4.46487615786281e-01
   4.58350836594159e+03    4.44044265047508e-01
   4.86997763881294e+03    4.25792001629434e-01
   5.15644691168429e+03    4.15089620253420e-01
   5.44291618455564e+03    4.03313772744232e-01
   5.72938545742699e+03    3.91247504690420e-01
   6.01585473029834e+03    3.79920578248150e-01
   6.30232400316969e+03    3.69478221368287e-01
   6.58879327604104e+03    3.57070928311560e-01
   6.87526254891239e+03    3.45178876425194e-01
   7.16173182178374e+03    3.39868933470672e-01
   7.44820109465509e+03    3.33371249712405e-01
   7.73467036752644e+03    3.26283438459326e-01
   8.02113964039779e+03    3.25432807931227e-01
   8.30760891326914e+03    3.21061605509020e-01
   8.59407818614048e+03    3.10977235776568e-01
   8.88054745901184e+03    3.08339945067577e-01
   9.16701673188318e+03    2.97485905143434e-01
   9.45348600475453e+03    2.89819979344173e-01
   9.73995527762588e+03    2.83733723972933e-01
   1.00264245504972e+04    2.76787272895072e-01
   1.03128938233686e+04    2.68026970238509e-01
   1.05993630962399e+04    2.58691939924266e-01
   1.08858323691113e+04    2.44519093337239e-01
   1.11723016419826e+04    2.30310400478345e-01
   1.14587709148540e+04    2.16760954738045e-01
   1.17452401877253e+04    2.03163578001546e-01
   1.20317094605967e+04    1.88263077326680e-01
   1.23181787334680e+04    1.69229470350166e-01
   1.26046480063394e+04    1.43001315193269e-01
   1.28911172792107e+04    1.16524271331448e-01
   1.31775865520821e+04    9.49715998432434e-02
   1.34640558249534e+04    7.79963783936091e-02
   1.37505250978248e+04    6.37495044601884e-02
   1.40369943706961e+04    5.20419982114987e-02
   1.43234636435675e+04    4.26597800296953e-02
   1.46099329164388e+04    3.53851672842110e-02
   1.48964021893102e+04    2.98528225080704e-02
   1.51828714621815e+04    2.48082609679767e-02
   1.54693407350529e+04    2.06048646740449e-02
   1.57558100079242e+04    1.69984082669085e-02
   1.60422792807956e+04    1.41384378572797e-02
   1.63287485536669e+04    1.16538180615385e-02
   1.66152178265383e+04    9.53568896866365e-03
   1.69016870994096e+04    7.96859000066157e-03
   1.71881563722810e+04    6.72785610134111e-03
   1.74746256451523e+04    5.68548989845386e-03
   1.77610949180237e+04    4.82434877520380e-03
   1.80475641908950e+04    4.13142126046161e-03
   1.83340334637664e+04    3.53163176323859e-03
   1.86205027366377e+04    3.03571781481471e-03
   1.89069720095091e+04    2.57992402299203e-03
   1.91934412823804e+04    2.17623522651644e-03
   1.94799105552518e+04    1.83378722337179e-03
   1.97663798281231e+04    1.55437413208073e-03
   2.00528491009945e+04    1.31772583478893e-03
   2.03393183738658e+04    1.12464608152311e-03
   2.06257876467372e+04    9.63898232161662e-04
   2.09122569196085e+04    8.33249534261048e-04
   2.11987261924799e+04    7.26220717994140e-04
   2.14851954653512e+04    6.33135829258941e-04
   2.17716647382226e+04    5.52311310810148e-04
   2.20581340110939e+04    4.79556195398746e-04
   2.23446032839653e+04    4.19308217195735e-04
   2.26310725568366e+04    3.65713458457031e-04
   2.29175418297080e+04    3.17580558214766e-04
   2.32040111025793e+04    2.76765205303818e-04
   2.34904803754507e+04    2.42432224289077e-04
   2.37769496483220e+04    2.12611205709385e-04
   2.40634189211934e+04    1.82823496829099e-04
   2.43498881940647e+04    1.58053622581665e-04
   2.46363574669361e+04    1.37114264546955e-04
   2.49228267398074e+04    1.19570981853008e-04
