c12,o16,ne20,mg24,si28,s32,ca40,fe54,ni56,ni58
0.009,0.565,0.094,0.189,0.124,0.019,0.000,0.000,0.000,0.000
0.010,0.562,0.101,0.185,0.123,0.019,0.000,0.000,0.000,0.000
0.014,0.555,0.114,0.179,0.120,0.018,0.000,0.000,0.000,0.000
0.018,0.548,0.127,0.175,0.115,0.017,0.000,0.000,0.000,0.000
0.023,0.462,0.111,0.142,0.101,0.018,0.001,0.001,0.133,0.007
0.025,0.309,0.079,0.091,0.065,0.012,0.001,0.001,0.393,0.024
0.027,0.264,0.064,0.073,0.058,0.011,0.001,0.001,0.472,0.029
0.029,0.211,0.049,0.055,0.046,0.009,0.001,0.001,0.564,0.034
0.033,0.198,0.043,0.051,0.044,0.010,0.001,0.002,0.583,0.035
0.037,0.200,0.043,0.051,0.040,0.009,0.001,0.003,0.584,0.033
0.038,0.191,0.043,0.048,0.045,0.014,0.002,0.004,0.583,0.032
0.042,0.192,0.044,0.047,0.056,0.018,0.003,0.005,0.561,0.031
0.045,0.186,0.045,0.044,0.061,0.021,0.003,0.006,0.558,0.030
0.049,0.189,0.046,0.042,0.062,0.021,0.003,0.007,0.552,0.029
0.049,0.184,0.047,0.040,0.063,0.024,0.005,0.009,0.553,0.027
0.052,0.181,0.047,0.038,0.074,0.031,0.006,0.012,0.534,0.024
0.058,0.183,0.047,0.035,0.095,0.041,0.007,0.014,0.498,0.021
0.065,0.196,0.048,0.036,0.108,0.047,0.008,0.016,0.458,0.018
0.070,0.206,0.045,0.036,0.122,0.053,0.010,0.019,0.426,0.014
0.077,0.217,0.042,0.035,0.135,0.060,0.012,0.023,0.390,0.008
0.080,0.222,0.039,0.034,0.158,0.073,0.015,0.027,0.346,0.004
0.084,0.226,0.036,0.033,0.187,0.092,0.020,0.029,0.290,0.003
0.089,0.235,0.033,0.034,0.229,0.115,0.023,0.029,0.211,0.003
0.097,0.245,0.031,0.034,0.274,0.132,0.022,0.028,0.133,0.002
0.104,0.250,0.028,0.033,0.320,0.146,0.020,0.028,0.069,0.002
0.110,0.260,0.026,0.032,0.350,0.148,0.016,0.027,0.030,0.002
0.120,0.277,0.026,0.033,0.359,0.138,0.011,0.024,0.011,0.001
0.130,0.301,0.028,0.035,0.349,0.123,0.008,0.021,0.004,0.001
0.141,0.331,0.031,0.036,0.328,0.109,0.006,0.016,0.001,0.001
0.152,0.371,0.033,0.038,0.297,0.092,0.005,0.011,0.001,0.001
0.160,0.420,0.032,0.044,0.260,0.072,0.004,0.007,0.000,0.000
0.169,0.457,0.029,0.050,0.228,0.060,0.003,0.004,0.000,0.000
0.174,0.492,0.029,0.056,0.198,0.047,0.002,0.002,0.000,0.000
0.175,0.518,0.029,0.061,0.178,0.036,0.001,0.001,0.000,0.000
0.168,0.542,0.032,0.068,0.162,0.027,0.000,0.000,0.000,0.000
0.170,0.555,0.037,0.072,0.145,0.022,0.000,0.000,0.000,0.000
0.165,0.561,0.044,0.077,0.133,0.020,0.000,0.000,0.000,0.000
0.174,0.564,0.042,0.076,0.124,0.021,0.000,0.000,0.000,0.000
0.180,0.562,0.047,0.076,0.115,0.020,0.000,0.000,0.000,0.000
0.190,0.560,0.050,0.074,0.106,0.019,0.000,0.000,0.000,0.000
0.188,0.559,0.055,0.076,0.103,0.020,0.000,0.000,0.000,0.000
0.190,0.558,0.056,0.077,0.099,0.019,0.000,0.000,0.000,0.000
0.196,0.555,0.060,0.076,0.094,0.019,0.000,0.000,0.000,0.000
0.209,0.553,0.060,0.072,0.088,0.018,0.000,0.000,0.000,0.000
0.218,0.550,0.062,0.071,0.083,0.016,0.000,0.000,0.000,0.000
0.229,0.547,0.063,0.068,0.078,0.016,0.000,0.000,0.000,0.000
0.247,0.543,0.063,0.063,0.070,0.014,0.000,0.000,0.000,0.000
0.261,0.540,0.062,0.059,0.065,0.013,0.000,0.000,0.000,0.000
0.279,0.539,0.056,0.055,0.060,0.012,0.000,0.000,0.000,0.000
0.303,0.532,0.058,0.050,0.048,0.009,0.000,0.000,0.000,0.000
0.327,0.528,0.055,0.043,0.040,0.008,0.000,0.000,0.000,0.000
0.330,0.525,0.059,0.042,0.037,0.007,0.000,0.000,0.000,0.000
0.380,0.520,0.044,0.028,0.023,0.004,0.000,0.000,0.000,0.000
0.388,0.519,0.041,0.027,0.021,0.004,0.000,0.000,0.000,0.000
0.409,0.513,0.044,0.021,0.012,0.002,0.000,0.000,0.000,0.000
0.435,0.512,0.033,0.012,0.007,0.001,0.000,0.000,0.000,0.000
0.453,0.513,0.023,0.007,0.004,0.000,0.000,0.000,0.000,0.000
0.466,0.513,0.016,0.003,0.002,0.000,0.000,0.000,0.000,0.000
0.474,0.513,0.011,0.002,0.001,0.000,0.000,0.000,0.000,0.000
0.477,0.513,0.008,0.001,0.001,0.000,0.000,0.000,0.000,0.000
0.482,0.513,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.485,0.513,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.486,0.513,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.485,0.513,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.487,0.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.487,0.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.487,0.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
